Name,Artifact Type,Category,Description,Tags,Classifications,Stewards,Related Terms,Part Of Terms
Account Activity,glossary_term,Industry Accelerators >> Loan Default Analysis,Identifies a business activity that that is carried out for an Account.,,,,Industry Accelerators >> Loan Default Analysis >> Loan Account,
Account Activity Type,glossary_term,Industry Accelerators >> Loan Default Analysis,"Distinguishes between account activities according to the nature of what is being carried out. For example, loan re-age or restructure, term change, credit risk score.",,,,,Industry Accelerators >> Loan Default Analysis >> Account Activity
Account Age,glossary_term,Industry Accelerators >> Loan Default Analysis,Identifies the length of time since the account became effective.,,,,,
Account Closed Date,glossary_term,Industry Accelerators >> Loan Default Analysis,The date when the account was closed.,,,,,Industry Accelerators >> Loan Default Analysis >> Loan Account
Account Currency,glossary_term,Industry Accelerators >> Loan Default Analysis,Identifies the currency of the account.,,,,,Industry Accelerators >> Loan Default Analysis >> Loan Account
Account Name,glossary_term,Industry Accelerators >> Loan Default Analysis,A free-form text name of the account.,,,,,Industry Accelerators >> Loan Default Analysis >> Loan Account
Account Number,glossary_term,Industry Accelerators >> Loan Default Analysis,A unique business identifier for the account.,,,,,Industry Accelerators >> Loan Default Analysis >> Loan Account
Account Opened Date,glossary_term,Industry Accelerators >> Loan Default Analysis,The date when the account was opened.,,,,,Industry Accelerators >> Loan Default Analysis >> Loan Account
Account Status,glossary_term,Industry Accelerators >> Loan Default Analysis,"The status of the account, for example: active, pending active, pending transfer, final, written off.",,,,,Industry Accelerators >> Loan Default Analysis >> Loan Account
Account Status Date,glossary_term,Industry Accelerators >> Loan Default Analysis,"Identifies a date that represents a calendar date associated with a change in account status; for example, date the account achieved a status of In Default.",,,,,Industry Accelerators >> Loan Default Analysis >> Loan Account
Account Status Reason,glossary_term,Industry Accelerators >> Loan Default Analysis,"Identifies the motive for changing the account status. For example, terms accepted, customer dissatisfaction, normal termination, refinanced with competitor, refinanced with financial institution, account sold, etc.",,,,,Industry Accelerators >> Loan Default Analysis >> Loan Account
Account Type,glossary_term,Industry Accelerators >> Loan Default Analysis,The categorization of the account into distinct types.,,,,,Industry Accelerators >> Loan Default Analysis >> Loan Account
Accrued Interest Receivable,glossary_term,Industry Accelerators >> Loan Default Analysis,Identifies the amount of funds that are due to the financial institution but which have not yet been received from the customer. The accrued amount has not yet been charged to the account.,,,,,Industry Accelerators >> Loan Default Analysis >> Loan Account
Activity Date,glossary_term,Industry Accelerators >> Loan Default Analysis,The date on which the account activity actually occurred.,,,,,Industry Accelerators >> Loan Default Analysis >> Account Activity
Activity Status,glossary_term,Industry Accelerators >> Loan Default Analysis,"The current state of the activity. For example, pending, on hold, completed, canceled.",,,,,Industry Accelerators >> Loan Default Analysis >> Account Activity
Actual Loss Amount,glossary_term,Industry Accelerators >> Loan Default Analysis,"Identifies the value of the loss on the account after all deductions and adjustments to the gross loss amount and including amounts redeemed after recoveries, write-offs and insurance.",,,,,Industry Accelerators >> Loan Default Analysis >> Loan Account
Address Line 1 Description,glossary_term,Industry Accelerators >> Loan Default Analysis,"First line of the address, which includes street and building number.",,,,,Industry Accelerators >> Loan Default Analysis >> Postal Address
